Reading additional input from stdin...
OpenAI Codex v0.137.0
--------
workdir: /Users/abdslm/Desktop/SOLIDER-REID
model: gpt-5.5
provider: openai_http
approval: never
sandbox: read-only
reasoning effort: xhigh
reasoning summaries: none
session id: 019eeeaa-8e3a-7b72-bdee-6706a8228e9e
--------
user
Review experiments/cargo_cvpb/afd_train.py, focus on the NEW --ovli OVLIHead (Opposite-View Late-Interaction Evidence Alignment): token proj (Conv2d 2048->256 on a layer4 feature-map hook, adaptive-pool to 8x4 grid, L2-norm per token), opposite-view supervised-contrastive loss score=alpha*cos(global)+(1-alpha)*sym_MaxSim(bidirectional mean-max), logsumexp multi-positive, tau0.05 alpha0.5, lambda warmup --ovli_warmup. 逐行查: bug/runtime/shape/device/AMP数值安全; ★proj新参数是否正确加进optimizer(list(model.parameters())+list(ovli.parameters())+assert自检, 这是关键); MaxSim/logsumexp数值(无NaN, empty-candidate用-1e4 floor); train/test对称(eval默认global-only, --ovli_rerank可选); --ovli off精确复现baseline; --ovp/--ovli互斥。用web search查novelty撞车: opposite-view/cross-view token-set late-interaction(ColBERT/MaxSim)作为training-time cross-view retrieval loss 在 aerial-ground 或 person ReID 的先例(对比CM-EMD/G2DA VI-ReID OT, CVFT geo-localization, DTST token selection, CMPC prototype)。输出 Verdict(approve/needs-attention)+findings(severity Critical/High/Medium/Low)。
codex
我会按 code review 方式处理：先读项目接手文档和目标文件，定位 OVLI 参数接入、shape/device/AMP/数值路径，再补一轮 web novelty 对照。
exec
/bin/zsh -lc "sed -n '1,220p' experiments/results.md" in /Users/abdslm/Desktop/SOLIDER-REID
 succeeded in 0ms:
# 实验结果总表 — Phase 2: Pure Pose Heatmap

## 数据集: Occluded-Duke

### 无后处理（纯模型结果）

> 注：本节默认记录各实验的**首次单 seed / 单 checkpoint**结果，用于保留搜索轨迹；是否能作为论文主结论，以文末 **4090 多种子验证** 为准。

| ID | 方法 | mAP | R-1 | R-5 | R-10 | vs Baseline | 备注 |
experiments/exp324d/design.md:43:- 新增 `scripts/exp324d_lora.py`（不碰 model/ 核心、不碰 train.py、不碰 exp324b 脚本）。复用 `exp324_dino.py` 几何/池化/part-MaxSim/eval_func + `exp324b_train_head.py` 的 PartHead/triplet/PKSampler/eval（import 复用，不复制）。
experiments/exp324d/design.md:50:- 假设成立：重遮挡 part-MaxSim mAP 破 14 明显上升（进入 20-40+ → DINO 线有救、competitive 可期）。
experiments/exp213/claude_review.md:17:- 动机合理: PKC 和 MST 是正交优化信号 (SupCon 推全局分布 vs triplet 推 pair-wise MaxSim 距离)
experiments/exp213/claude_review.md:36:- **MaxSim 距离计算**: 与 test-time `_maxsim_distance` 公式一致 (query-side visibility weighting, 1-sim)
experiments/exp213/claude_review.md:67:4. **MST** (MaxSim triplet): 直接在 kp_feats (B, 17, C) 上做 set-to-set triplet → GCN params
experiments/exp213/claude_review.md:73:- MST 优化的是 **per-keypoint** 特征在 MaxSim 距离度量下的判别力
experiments/exp213/claude_review.md:101:- `POSE_MAXSIM_TRIPLET` (make_loss.py line 224-240): 旧版 MaxSim triplet, 在 loss_fn 内部
experiments/exp213/claude_review.md:102:- `POSE_MST` (processor.py line 870-935): 新版 MaxSim triplet, 在 processor 中
experiments/exp213/claude_review.md:104:- 如果两者同时启用会导致双重 MaxSim triplet loss — 但 exp213 不会触发此情况
experiments/exp225/monitor.md:104:### MaxSim Hybrid 测试
experiments/exp225/monitor.md:106:**GSPB+PADPQ + MaxSim: 64.5/75.2**
experiments/exp225/monitor.md:114:MaxSim gain 仅 +0.3 (PADPQ 破坏了 cross-image keypoint consistency)。
experiments/exp225/monitor.md:115:GSPB-only 仍是 MaxSim 最佳 (64.6)。
experiments/exp307_full_noPLBOA_t_od_s42/monitor.md:13:- **MaxSim hybrid+flip**: **64.5 / 73.5**
experiments/exp307_full_noPLBOA_t_od_s42/monitor.md:36:| Backbone | PLBOA | Exp | eq+flip | Global+flip | **MaxSim+flip** |
experiments/exp307_full_noPLBOA_t_od_s42/monitor.md:44:| Backbone | Exp ON | Exp OFF | Δ MaxSim mAP | Δ MaxSim R1 |
experiments/exp307_full_noPLBOA_t_od_s42/monitor.md:50:- **Occ-Duke**: PLBOA ON > OFF by **+2.2-2.7 mAP MaxSim** across 2 backbones (Tiny + Base 一致 net positive)
experiments/exp307_full_noPLBOA_t_od_s42/monitor.md:56:exp307 = **Tiny PLBOA 消融最后一格 FINAL**, 数字 62.8/71.8 eq, 64.5/73.5 MaxSim。PLBOA 在 Tiny 上贡献 +2.7 mAP MaxSim, 比 Base (+2.2 mAP) 略大 — Tiny 容量小, augmentation 帮助更显著。Paper Phase 3 PLBOA 段落 2-backbone evidence 完整。
experiments/exp324d/claude_review.md:1:# Claude Broad Review — exp324d (LoRA-unfrozen DINOv2 + pose part-MaxSim)
experiments/exp324d/claude_review.md:29:heavy-occ mask（vis≤8）、same-cam 排除（eval_func 内）、distmat（cosine + part-MaxSim）全不变。无 autocast，DINO float32，pool_w float32 → bmm dtype 一致；bn/pp `.float()` 后转 numpy。无 dtype mismatch。PASS。
experiments/exp324d/claude_review.md:35:确认机制（exp324b 证 pose part-MaxSim 可训但冻结特征受限于 14.61）上的 sanctioned 破天花板实验，非调参/镀金。设计有清晰 go/no-go。
experiments/exp254/design.md:15:- exp246b (1-stage): 65.5/77.2, MaxSim 66.3/77.7
experiments/exp254/design.md:16:- exp251 (2-stage+PAA): 65.2/76.2, MaxSim 65.9/76.8
experiments/exp254/design.md:17:- exp253 (3-stage): 65.1/76.2, MaxSim 66.0/77.2
experiments/exp324d_large/design.md:1:# 实验 exp324d_large: LoRA-解冻 DINOv2-large + pose-anchored part-MaxSim
experiments/exp324d_large/design.md:22:    part_weight 0.5 per-part ID CE；PK sampler P16×K4=64；eval = global cosine + 互见 part-MaxSim，
experiments/exp324d_large/design.md:43:- 失败最可能原因：pose-anchored 5-part 表征上限就低（part-MaxSim 信息瓶颈），
experiments/exp302_full_b_od_s42/monitor.md:13:- **MaxSim hybrid+flip**: **74.4 / 83.6**
experiments/exp302_full_b_od_s42/monitor.md:36:| Exp | Seed | eq+flip | Global+flip | **MaxSim+flip** |
experiments/exp302_full_b_od_s42/monitor.md:43:- mAP MaxSim: mean **74.87**, std **0.42**, range 0.8
experiments/exp302_full_b_od_s42/monitor.md:44:- R1 MaxSim: mean **84.47**, std **0.78**, range 1.4
experiments/exp302_full_b_od_s42/monitor.md:46:**Paper claim 支撑**: 3 个 seed (41/1234/42) Base mAP MaxSim 标准差 0.42 (< 0.5), 与 Small s42/s1234/s2024 (std 0.45) 一致, 论文可写 "Our method is robust to seed selection across all backbones (std ≤ 0.5 mAP for both Small and Base across 3 seeds each)"。
experiments/exp302_full_b_od_s42/monitor.md:50:exp302 是 multi-seed Base 第 3 个 seed,稍弱于 s41/s1234 (-0.6 ~ -0.8 MaxSim mAP), 但仍在 1 mAP 范围内, 健康 multi-seed 表现。Paper Base 主行仍用 exp263d 75.2/84.8。
experiments/exp254/monitor.md:79:对照: exp249 (Small 1-stage PSG): 71.9/81.8, MaxSim 73.3/83.2
experiments/exp254/monitor.md:130:### [01:18] MaxSim = 66.2/78.1 + exp255 启动!
experiments/exp254/monitor.md:132:**MaxSim**: mAP=66.2%, R1=78.1% (**R1 78.1 是所有 Tiny 最高!**)
experiments/exp324d_large/monitor.md:9:- 冻结 DINOv2-base (exp324b)：part-MaxSim 重遮挡 mAP **8.65** / 全部 **14.61**（e20 触顶）
experiments/exp324d_large/monitor.md:43:- 等 e5 part-MaxSim eval（决定性 heavy/all mAP vs 冻结 8.65/14.61）
experiments/exp324d_large/monitor.md:76:  瓶颈在**机制/问题结构**（pose-part-MaxSim 表征上限）。坐实"路线 2 刷绝对值无望，需机制重组/问题 reframe"。
experiments/exp152/design.md:1:# 实验 exp152: Set-to-Set Metric Learning via Soft-MaxSim Triplet
experiments/exp152/design.md:5:MaxSim test-time 在所有 checkpoint 上稳定 +1.0~1.5% mAP。这说明 set-to-set matching 优于 vector matching。但当前存在 **train-test metric mismatch**：
experiments/exp152/design.md:8:- 测试：keypoint features → MaxSim (set matching) → distance
experiments/exp152/design.md:10:如果训练也用 MaxSim 作为距离函数，实现 train-test metric symmetry，应该进一步释放 set-level 特征的判别力。
experiments/exp152/design.md:14:- **MoS (AAAI 2021)**: Jaccard set matching in ReID — 不同的 set 距离，不是 MaxSim
experiments/exp152/design.md:16:- **ColPali (2024)**: MaxSim training for document retrieval — 证明 MaxSim training 可行，但在 vision-to-text 而非 ReID
experiments/exp152/design.md:17:- **Video-ColBERT (CVPR 2025)**: MaxSim training for video — 进一步验证
experiments/exp152/design.md:19:**结论：MaxSim training 在 person ReID 中从未被做过。这是一个真正的创新空白。**
experiments/exp152/design.md:23:1. 用 Soft-MaxSim 替换 GCN branch 的 pooled triplet，让训练直接优化 set-level matching
experiments/exp152/design.md:26:4. 最终表现为：MaxSim test 进一步提升，且 equal_concat test 也改善
experiments/exp152/design.md:30:### Soft-MaxSim 距离
experiments/exp152/design.md:38:SoftMaxSim(Q, G) = sum_k [w_k * sim_k] / sum_k w_k
experiments/exp152/design.md:39:distance = 1 - SoftMaxSim
experiments/exp152/design.md:50:| **GCN Triplet** | **替换为 Soft-MaxSim Triplet** |
experiments/exp152/design.md:52:### Batch Hard Mining with MaxSim
experiments/exp152/design.md:54:1. 计算 batch 内 (B, B) MaxSim 距离矩阵
experiments/exp152/design.md:67:- `tri_maxsim`: MaxSim triplet loss 值
experiments/exp152/design.md:68:- `maxsim_d_ap`: 均值 MaxSim 距离到 hardest positive
experiments/exp152/design.md:69:- `maxsim_d_an`: 均值 MaxSim 距离到 hardest negative
experiments/exp152/design.md:74:- MaxSim test: +0.3~0.8% mAP 超过 test-only MaxSim (62.2% → 62.5~63.0%)
experiments/exp152/design.md:87:1. **训练集 95.8% 可见 → MaxSim 退化为 1-to-1 fixed correspondence**: 但这等价于 per-keypoint independent triplet，仍然比 pooled triplet 更精细
experiments/exp152/design.md:88:2. **Soft-MaxSim 的 tau 敏感性**: 先用 0.05，必要时扫 0.02/0.1
experiments/exp152/design.md:89:3. **梯度冲突**: pooled ID loss 和 MaxSim triplet 方向一致（都要求同 ID 相似），不冲突
experiments/exp152/design.md:94:- MaxSim triplet loss 出现 NaN → 终止
experiments/exp324f/design.md:3:> **来源**：过夜创新探索（overnight_innovation_log.md）。exp324b 已证冻结 DINO + 姿态部位 part-MaxSim 在重遮挡上有机制信号（part 重遮挡 8.65 / 全部 14.61），但**绝对分远低于 exp255 Swin SOTA（75 mAP MaxSim）**。本实验换一个**重量级角度**：不再单独评 DINO，而是问"**给 75-mAP 的 SOTA Swin 模型加上 DINO 的遮挡部位对应，重遮挡 query 能否比 Swin 单独更好？**"——建在 75 上而非 14 上。
experiments/exp324f/design.md:12:- exp255 Swin 是项目训练端最强（75.2 mAP MaxSim，Occ-Duke）。它已用 PSG/LGPA/GCN 处理遮挡，但**重遮挡 query 仍是最难的子集**。
experiments/exp324f/design.md:13:- DINO 姿态部位对应（exp324b）提供一种**正交的、自监督的、姿态显式锚定的**遮挡鲁棒匹配信号：跨图只比双方可见部位（mutually-visible part-MaxSim），天然对遮挡部位免疫。
experiments/exp324f/design.md:18:DINO 姿态部位对应的距离矩阵与 Swin MaxSim 距离矩阵**互补**：在重遮挡 query 子集上，加权融合 `d = (1-w)·d_swin + w·d_dino`（w>0）的 mAP/R1 高于 w=0（Swin 单独）。
experiments/exp324f/design.md:24:1. **Swin MaxSim distmat**（`d_swin`，Q×G）：
experiments/exp324f/design.md:25:   - 用 `scripts/eval_fliptest_maxsim.py` 的特征提取 + `compute_maxsim_distmat`（global_weight=1.0，与主线 MaxSim 一致），exp255 ckpt = `log/occluded_duke/exp255_small_gcn512_2stage/transformer_120.pth`，config = `configs/occluded_duke/pose_psg_lgpa_gcn512_2stage_small.yml`。
experiments/exp324f/design.md:27:2. **DINO part-MaxSim distmat**（`d_dino`，Q×G）：
experiments/exp324f/design.md:38:- **w=0 必须等于纯 Swin**：sanity check，w=0 时 mAP 应 ≈ eval_fliptest_maxsim 报的 Swin MaxSim 数字（小数点级一致），否则对齐/归一化有 bug。
experiments/exp324f/design.md:39:- **归一化不能跨 query 行泄漏**：z-score/min-max 按全矩阵统计（两个 distmat 各自独立统计），不按行——按行会破坏 MaxSim 的相对排序语义。这里只为把两个不同尺度的 distmat 拉到可加。
experiments/exp324f/design.md:49:- **baseline**：w=0（exp255 Swin 单独 MaxSim+flip），全量 + 重遮挡。
experiments/exp325/codex_review.md:10:- **Low** — `scripts/exp324f_swin_distmat.py:81` dump 的是 Swin **MaxSim hybrid** distmat（global cosine 与 part-MaxSim 1:1 混合，alpha=global_weight/(global_weight+1)=0.5），非纯 part-only。与项目惯例一致，但 writeup 应称"Swin MaxSim hybrid"避免歧义。
experiments/exp325/codex_review.md:20:- **新颖性（web search）**：DINOv2/基础模型用于 ReID、score-level/late fusion、姿态引导可见部位匹配均有先例。未找到完全相同组合"frozen DINOv2 dense + 姿态锚定 5 部位轻量头 + mutually-visible part-MaxSim on Occluded-Duke"，但应**窄框为实验机制/诊断**，非广义新颖。来源：DINOv2 HF config、ECHO-BID、DinoGRL、Query Adaptive Late Fusion、PFD、PGFL-KD。
experiments/exp152/monitor.md:1:# exp152 MaxSim Triplet 监控
experiments/exp152/monitor.md:4:- 方法: Set-to-Set Metric Learning via Soft-MaxSim Triplet
experiments/exp152/monitor.md:15:- 日志确认: `tri_maxsim` 出现，MaxSim triplet 生效
experiments/exp152/monitor.md:22:- 与远程形成强消融：soft vs hard MaxSim
experiments/exp152/monitor.md:26:  - hard MaxSim 梯度更稀疏，可能导致学习更慢
experiments/exp152/monitor.md:44:### [2026-03-23 05:40] ep10-100 结果汇总 — MaxSim triplet 呈现严重负向 🔴
experiments/exp152/monitor.md:62:  3. **根本原因**: MaxSim triplet 梯度与 pooled ID loss 梯度冲突
experiments/exp152/monitor.md:64:     - MaxSim triplet 要求每个 kp 独立判别 → kp 特征趋异
experiments/exp152/monitor.md:66:  4. **重要**: 以上是 equal_concat 评估。需要用 MaxSim test 重新评估这些 checkpoint
experiments/exp152/monitor.md:67:  5. 但 -3% 的 equal_concat 退化太大，即使 MaxSim test 能回补也难以超越 test-only 的 62.2%
experiments/exp152/monitor.md:69:- 当前判断: 让两台继续跑到 ep120 收集完整证据，但 MaxSim triplet 替换策略基本失败
experiments/exp152/monitor.md:71:### [2026-03-23 06:00] exp152b (hard) 完成 — MaxSim training 确认失败 🔴
experiments/exp152/monitor.md:75:| 评估模式 | exp152b (hard MaxSim training) | exp030a (baseline) | Δ |
experiments/exp152/monitor.md:81:1. MaxSim training 严重损害了特征质量（-3.3% equal_concat）
experiments/exp152/monitor.md:82:2. 即使用 MaxSim test-time 评估也不能回补（-3.2% vs baseline MaxSim test-only）
experiments/exp152/monitor.md:84:4. 根本原因：MaxSim triplet 让每个 keypoint 独立优化 set-matching，但 pooled ID loss 要求所有 keypoint 协同做分类。两者梯度冲突导致 GCN branch 特征质量下降
experiments/exp152/monitor.md:85:5. MaxSim 应定位为 **纯 test-time method**，不适合替换训练目标
experiments/exp317_tiny_lgpaW025_s42/monitor.md:12:- **MaxSim hybrid+flip**: **67.4 / 78.6** ⭐
experiments/exp317_tiny_lgpaW025_s42/monitor.md:37:| **MaxSim** | **67.4/78.6** | **67.2/78.6** | **+0.2/0** ⭐ |
experiments/exp317_tiny_lgpaW025_s42/monitor.md:41:**LGPA_ASSIGN_WEIGHT 0.25 (减半 default) net positive +0.2 mAP MaxSim** on Tiny。第一个 sweep 中 MaxSim 超 baseline 的结果。
experiments/exp325/design.md:3:> **来源**：过夜创新探索。exp324b 证冻结 DINOv2-**base** 训轻量头 part-MaxSim 重遮挡 8.65 / 全部 14.61，但 e20 即到顶 → 冻结 base 特征天花板低。本实验换**更强冻结 backbone（DINOv2-large，hidden 1024，patch 14）**，问"**更强冻结模型重遮挡 mAP 能否抬过 exp324b 的 8.65 / 全部 14.61？**"。
experiments/exp325/design.md:14:把 exp324b 的冻结 backbone 从 DINOv2-base 换成 DINOv2-large（其余 pipeline、损失、超参、采样、评测**完全不变**，单变量），part-MaxSim 重遮挡 mAP > 8.65、全部 > 14.61。
experiments/exp325/design.md:22:- **评测**：part-MaxSim + cos，全量 + 重遮挡（vis≤8），同 exp324b 口径。
experiments/exp152/claude_review.md:1:# exp152 MaxSim Triplet Claude 广范围审查
experiments/exp152/claude_review.md:12:1. **M1: 非对称距离矩阵** — 设计如此（ColBERT 范式），不需修改
experiments/exp324f/monitor.md:6:- **Stage 1**（`solider-reid` conda env, torch1.13）：`scripts/exp324f_swin_distmat.py` 跑 exp255 Swin（`exp255_small_gcn512_2stage/transformer_120.pth`），flip-test + MaxSim，dump `experiments/exp324f/swin_distmat.npz`（d_swin + q/g 文件名/pid/camid）。
experiments/exp324f/monitor.md:11:- **Swin MaxSim ALONE: mAP=75.16 R1=85.57 R5=91.86 R10=93.17** —— 与 exp255 主线 75.2 一致 ✓
experiments/exp324f/monitor.md:12:- **DINO part-MaxSim ALONE: mAP=14.61 R1=21.99** —— 与 exp324b e60 完全一致 ✓
experiments/exp324f/monitor.md:42:- 冻结 DINO part-MaxSim 信号（14.61 全部 / 8.65 重遮挡，量级远低于 Swin）**噪声太大**，对 SOTA Swin 是**严格冗余且有害**的距离源，任何正权重都拖垮排序。
experiments/exp252/design.md:18:- exp249 (Small LGPA-D+GCN, Stage3-only PSG): 71.9/81.8, MaxSim 73.3/83.2
experiments/exp252/design.md:21:- 成功: 72+ mAP, MaxSim 74+
experiments/exp325/monitor.md:14:| 指标 | part-MaxSim ALL | part-MaxSim HEAVY | cos ALL | cos HEAVY |
experiments/exp325/monitor.md:18:**成功口径**：part-MaxSim 重遮挡 > 8.65、全部 > 14.61？
experiments/exp252/monitor.md:5:对照: exp249 (Small LGPA-D+GCN, Stage3-only PSG): 71.9/81.8, MaxSim 73.3/83.2
experiments/exp255/design.md:4:目标: 推 Small mAP 向 75%。当前最佳 exp249 MaxSim = 73.3。
experiments/exp255/design.md:24:- exp249 (Small 1-stage PSG, GCN 256): 71.9/81.8, MaxSim 73.3/83.2
experiments/exp255/design.md:27:- 成功: 72.5+ mAP, MaxSim 74+ (向 75% 迈进)
experiments/exp237/claude_review.md:75:- `kp_feats`: (B, K=5, 768) — 供 MaxSim 使用。正确。
experiments/exp237/claude_review.md:122:- `aux_data` 包含 `kp_feats` 和 `kp_weights`，供 MaxSim test path 使用。
experiments/cargo_cvpb/monitor.md:3:## kill-switch #1: 零训练 local-token MaxSim probe (maxsim_probe.py)
experiments/cargo_cvpb/monitor.md:6:**日志**: lab-3090 `/tmp/cvpb_maxsim_probe.log`
experiments/cargo_cvpb/monitor.md:25:- 结论: 局部 token MaxSim 在 trained baseline 上带跨视角增量证据(主要来自 aerial-as-query 方向)。Local Token MaxSim 模块值得进入训练(kill-switch #1 通过)。
experiments/cargo_cvpb/monitor.md:33:cd /root/work/SOLIDER-REID/experiments/cargo_cvpb
experiments/cargo_cvpb/monitor.md:36:  --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovp \
experiments/cargo_cvpb/monitor.md:38:  2>&1 | tee /tmp/cvpb_ovp.log
experiments/cargo_cvpb/monitor.md:42:## OVLI(★headline)实现状态(2026-06-22, 代码完成, 未训练)
experiments/cargo_cvpb/monitor.md:44:**为什么转 OVLI**: OVP ep30 到 39.18(+大, 证方向有 BIG headroom), 但 OVP novelty 撞 CMPC/MBCE/PDPA。OVLI 保方向换机制——token-set late-interaction(MaxSim)的 sample-to-sample 跨视角检索 loss, 无 prototype/memory/EMA。
experiments/cargo_cvpb/monitor.md:46:**实现位置**: `experiments/cargo_cvpb/afd_train.py`(加 `--ovli` 系列选项 + `OVLIHead` 类 + `ovli_rerank_eval`)。
experiments/cargo_cvpb/monitor.md:47:- `OVLIHead`: hook model.layer4 → adaptive_pool 到 8×4 → **新增 Conv2d(2048→256) proj** + 逐 token L2-norm → 双向 sym MaxSim(B×B)+ opp-view logsumexp supcon loss(τ=0.05, α=0.5)。
experiments/cargo_cvpb/monitor.md:48:- **proj 进 optimizer**: `opt_params = list(model.parameters()) + list(ovli.parameters())`, 且 assert 自检 proj 在 optimizer。
experiments/cargo_cvpb/monitor.md:49:- λ warmup(`--ovli_warmup` 默认 10), 日志 `OVLI[lam_eff loss pos neg gap]`。
experiments/cargo_cvpb/monitor.md:50:- AMP: OVLI loss 在 `autocast(enabled=False)` 真 fp32。`--ovli` off 精确复现 baseline; `--ovp`/`--ovli` 互斥。
experiments/cargo_cvpb/monitor.md:52:**验证**: ast.parse + py_compile 过; 本地隔离 numeric smoke test(导入真实 OVLIHead)全过——token shape/L2-norm、MaxSim 对称、loss 有限>0、梯度回流 proj+global、空候选 batch loss=0 不崩、fp16→fp32 token、AdamW 推动 proj。
experiments/cargo_cvpb/monitor.md:54:**OVLI 训练命令**(GPU 空出 + codex 审通过后):
experiments/cargo_cvpb/monitor.md:56:cd /root/work/SOLIDER-REID/experiments/cargo_cvpb
experiments/cargo_cvpb/monitor.md:59:  --out_dir   /root/work/SOLIDER-REID/log/cargo/cvpb_ovli \
experiments/cargo_cvpb/monitor.md:60:  --ovli --ovli_lambda 0.5 --ovli_tau 0.05 --ovli_alpha 0.5 \
experiments/cargo_cvpb/monitor.md:61:  --ovli_dim 256 --ovli_grid 8 4 --ovli_warmup 10 --ovli_rerank \
experiments/cargo_cvpb/monitor.md:62:  2>&1 | tee /tmp/cvpb_ovli.log
experiments/cargo_cvpb/monitor.md:63:# baseline 复现: 去掉 --ovli
experiments/cargo_cvpb/design.md:14:- **模块2 Local Token MaxSim**: feature map 切 K 个局部 evidence token, 测试 `global cosine + β·双向 MaxSim(tokens)`, 训练 token-level ID/SupCon + diversity 防坍缩。**不强制同部位对齐**(non-correspondence set matching)。≠GSAlign(无 TPS warp)/ ViSA(无 expert graph)/ SeCap(无 prompt)。
experiments/cargo_cvpb/design.md:17:1. **零训练 token-MaxSim probe**(最便宜, 先跑): CARGO baseline checkpoint 抽 feature map, 测 `global cosine` vs `global + 局部 MaxSim hybrid` 的 A↔G mAP。**+0.5~1.0 mAP** = 局部匹配有料 → 继续。
experiments/cargo_cvpb/design.md:23:baseline 32.48 → +OVP-Mem → +Local-MaxSim → +both; K(token 数) / β / τ 敏感性; EMA momentum。
experiments/cargo_cvpb/design.md:31:- 我们的: **cross-view local evidence densification via opposite-view prototype + non-correspondence set matching**。
experiments/cargo_cvpb/design.md:38:- **#1 零训练 MaxSim probe: 弱 PASS +0.86**(8×4 grid β=1.0 → 33.34 vs baseline 32.48; pipeline 验证 global cosine 精确复现 32.48; 增益集中 aerial-query A→G 32.90→34.18 **+1.28**, G→A 平~32)。局部 token 集合匹配有料但弱。
experiments/cargo_cvpb/design.md:39:- **双审**: Claude review 无 Critical, **H1 训练动力学已修**(λ warmup `ovp_warmup=10` + inited 列数日志, 防冷启动梯度尖峰), 审查通过。⚠️**H2/M5 novelty 撞车**: OVP-Mem(对侧视角原型+InfoNCE)≈ **PDPA(2025 同 CARGO)/ CMPC(CVPR22)/ MBCE(AAAI23 VI-ReID)** → **OVP 当组件不当 headline, 用 Local-MaxSim 集合匹配(non-correspondence)差异化**。Codex review 进行中。
experiments/cargo_cvpb/design.md:48:# OVLI: Opposite-View Late-Interaction Evidence Alignment(★headline, 5-codex 收敛)
experiments/cargo_cvpb/design.md:50:## 为什么从 OVP 转 OVLI
experiments/cargo_cvpb/design.md:51:- **OVP-Mem 的硬伤是 novelty 撞车**(claude/codex 双审都标 High): per-view EMA prototype + opposite-view InfoNCE ≈ **CMPC(CVPR22)/MBCE(AAAI23)/PDPA(2025 同 CARGO)** 近乎逐字同构, 当 headline 过不了 novelty review。
experiments/cargo_cvpb/design.md:53:- **OVLI 保留方向、换掉撞车的机制**: 把 per-pid prototype contrast 改成 **token-set late-interaction(ColBERT/MaxSim 风格)的 sample-to-sample 跨视角检索 loss**——无 prototype/memory/EMA, 直接局部 token 集合**部分匹配**。
experiments/cargo_cvpb/design.md:56:**跨视角身份证据是"部分 token-set 匹配"问题, 不是"全局原型对齐"问题。** 航拍-地面单图在两视角下**无 1-1 部位对应**(俯视看头肩/平视看全身)。全局原型(OVP/CMPC)对"缺失区域"一律惩罚, 把不可对应的部分也算进相似度; **partial MaxSim 让"能对上的 token"承担相似度, 对不上的不拖累**——这正是 late-interaction 的 retrieval 语义, 契合跨视角证据稀疏/不对齐的本质。
experiments/cargo_cvpb/design.md:59:全局 cosine 之外, 加 **opposite-view sample-to-sample 的 (global cos + 双向 MaxSim) 混合检索 loss**(supervised-contrastive), 让 encoder 学到"对侧视角下能局部匹配上的身份证据" → mAP 涨。判据 = 涨点。
experiments/cargo_cvpb/design.md:61:## 技术方案(已实现, `afd_train.py --ovli`)
experiments/cargo_cvpb/design.md:63:   - ★**proj 是新可学参数**, `OVLIHead.proj`(Conv2d 2048→256), **已加进 optimizer**(`list(model.parameters())+list(ovli.parameters())`, 且有 assert 自检 proj 在 optimizer.param_groups 里)。这是与 OVP(无新参数)的关键结构差异。
experiments/cargo_cvpb/design.md:65:2. **opposite-view retrieval loss**(`OVLIHead.loss`): batch 内, anchor(view v)的 positive = 同 pid 的 **opposite-view(1-v)** 样本, negative = 其它 pid 的 opposite-view 样本; **同视角样本完全排除出候选**(纯跨视角目标)。
experiments/cargo_cvpb/design.md:66:   - `score(i,j) = α·cos(g_i,g_j) + (1-α)·sym_MaxSim(tok_i,tok_j)`, sym_MaxSim = 双向 mean-max `0.5*(mean_u max_s + mean_s max_u)`(对称)。α=0.5。
experiments/cargo_cvpb/design.md:68:3. **★H1 教训(从 OVP 继承)**: `--ovli_warmup`(默认 10)对 λ 线性 warmup, 防随机 proj 早期梯度尖峰。epoch 日志 `OVLI[lam_eff loss pos neg gap]` 监控塌缩/过强。
experiments/cargo_cvpb/design.md:70:   - OVLI 是训练期 loss; eval 默认 **global-only 不变**(精确 == baseline)。`--ovli_rerank` 可选额外报 `global + MaxSim` rerank(global 与 rerank 两个数都打印), 用与训练**同一套** proj token + 双向 MaxSim。
experiments/cargo_cvpb/design.md:71:   - OVLI loss 在 `autocast(enabled=False)` 内走**真 fp32**(cos/MaxSim/logsumexp 在 τ=0.05 下要 fp32; proj 也在 fp32 跑), 修了 OVP 审查里"注释说 fp32 但其实在 autocast 内"的 M1。
experiments/cargo_cvpb/design.md:72:   - `--ovli` off 精确复现 baseline(`ovli=None`, OVLIHead 不构造, optimizer 只含 model params)。
experiments/cargo_cvpb/design.md:73:   - `--ovp` 与 `--ovli` 互斥(两个不同跨视角机制, 不混跑混淆消融)。
experiments/cargo_cvpb/design.md:76:- **#2′ OVLI only 训练**(GPU 空出后): ep10/20/30 vs baseline 同 epoch。OVP ep30 到 39.18, OVLI 至少要进同量级才说明 late-interaction 机制不输 prototype。
experiments/cargo_cvpb/design.md:78:- 消融: α(global vs MaxSim 权重)/ τ / grid(token 数 K)/ λ / proj_dim; OVLI vs OVP 同设置对比(证 late-interaction ≥ prototype 且 novelty 更干净)。
experiments/cargo_cvpb/design.md:82:- vs OVP/CMPC/MBCE/PDPA: **无 prototype/memory/EMA**, sample-to-sample late-interaction, 这正是绕开 OVP 撞车的点。
experiments/cargo_cvpb/design.md:83:- vs ColBERT/MaxSim(IR/ReID rerank): 我们不是把 MaxSim 当 **test-time rerank**(那是 maxsim_probe kill-switch #1 已做的弱 +0.86), 而是把 opposite-view late-interaction 当 **训练期跨视角监督 loss**(让 encoder 内化局部可匹配证据), eval 默认仍 global-only。
experiments/cargo_cvpb/design.md:85:- 我们的: **cross-view identity evidence as opposite-view late-interaction (partial token-set) retrieval, learned as a training objective**。
